Match No,Match,Toss Won By,Toss Decision,Match Won By,Toss Decision Success/Fail
1,Mumbai Indians vs Gujarat Giants,Gujarat Giants,field,Mumbai Indians,Fail
3,Gujarat Giants vs UP Warriorz,Gujarat Giants,bat,UP Warriorz,Fail
2,Delhi Capitals vs Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,Fail
4,Royal Challengers Bangalore vs Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,Fail
5,Delhi Capitals vs UP Warriorz,UP Warriorz,field,Delhi Capitals,Fail
6,Gujarat Giants vs Royal Challengers Bangalore,Gujarat Giants,bat,Gujarat Giants,Success
7,Delhi Capitals vs Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,Fail
8,Royal Challengers Bangalore vs UP Warriorz,Royal Challengers Bangalore,bat,UP Warriorz,Fail
9,Gujarat Giants vs Delhi Capitals,Gujarat Giants,bat,Delhi Capitals,Fail
10,UP Warriorz vs Mumbai Indians,UP Warriorz,bat,Mumbai Indians,Fail
11,Royal Challengers Bangalore vs Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Success
12,Mumbai Indians vs Gujarat Giants,Gujarat Giants,field,Mumbai Indians,Fail
13,UP Warriorz vs Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Success
14,Gujarat Giants vs Delhi Capitals,Delhi Capitals,field,Gujarat Giants,Fail
15,Mumbai Indians vs UP Warriorz,UP Warriorz,field,UP Warriorz,Success
16,Gujarat Giants vs Royal Challengers Bangalore,Gujarat Giants,bat,Royal Challengers Bangalore,Fail
18,Mumbai Indians vs Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Success
17,Gujarat Giants vs UP Warriorz,Gujarat Giants,bat,UP Warriorz,Fail
20,UP Warriorz vs Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Success
19,Royal Challengers Bangalore vs Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Success
Eliminator,Mumbai Indians vs UP Warriorz,UP Warriorz,field,Mumbai Indians,Fail
Final,Delhi Capitals vs Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,Fail
